median_income,median_rent_monthly,median_home_value,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25091_001E,B25091_012E,B25091_013E,B25091_014E,B25091_015E,state,year,annual_rent,rent_burden_ratio,price_to_income_ratio,rent_30plus,rent_burden_pct,owner_30plus,owner_burden_pct,cpi,real_income,cpi_index,z_real_income,z_rent_burden,z_owner_burden,qol_score
79449,1208,421700,333437,31806,22900,30546,65802,768062,1955,233752,140887,37476,UT,2021,14496,0.182456670316807,5.30780752432378,151054,45.30211104346548,414070,53.91101239222876,345.294,77210.3883147405,102.89936591969209,-0.9528986648776568,1.3445602792560996,1.0081789918048238,0.11173548532640243
66963,1167,237400,4035245,333266,271563,355484,956574,6761002,21820,2936395,1280062,583662,TX,2021,14004,0.2091304153039738,3.545241401968251,1916887,47.50360882672551,4821939,71.31988720015168,314.35,71482.1770454907,93.67789673974994,-1.749629360006685,0.5679488371656655,-1.313498501793616,-1.0612020961603301
84907,1750,648100,5926357,526471,394535,569147,1633990,7502706,32877,2403924,1082422,415745,CA,2021,21000,0.2473294310245327,7.633057345095222,3124143,52.71607835977482,3934968,52.44731700802351,345.294,82514.5998142163,102.89936591969209,-0.21514163804191289,-1.2708281589753003,1.2033799262986886,-0.12443287719010937
74314,1409,368800,3413629,298278,208338,267260,944051,4239037,13982,1770378,647860,333494,NY,2021,16908,0.227521059288963,4.962725731356137,1717927,50.32553332538481,2765714,65.24392214552503,337.321,73927.08675564225,100.52337142086587,-1.4095695191007356,-0.42752745676402465,-0.5031973493723604,-0.9374659610844641
89168,1372,499500,325496,28742,22783,25711,69155,804164,1177,253201,152273,39562,UT,2022,16464,0.1846402296788085,5.60178539386327,146391,44.974746233440655,446213,55.48781094403628,345.294,86655.53883936588,102.89936591969209,0.3608170815160034,1.4600431378518337,0.7978944243034212,0.7448929312968154
72284,1290,275400,4161092,378216,292703,385292,1007799,6926616,20012,3042119,1254953,615502,TX,2022,15480,0.2141552764097172,3.8099717779868296,2064010,49.60260431636696,4932586,71.21206083894359,314.35,77162.2789533959,93.67789673974994,-0.9595901437887194,-0.17250337975088437,-1.299118592764715,-0.8477005650232595
91551,1870,715900,5985084,528783,396367,568942,1686559,7565502,32199,2488970,1091358,436358,CA,2022,22440,0.2451092833502637,7.819685202783148,3180651,53.14296340702988,4048885,53.51773087892912,345.294,88971.3937318633,102.89936591969209,0.6829268277508123,-1.421418277519353,1.0606276909970636,0.2512657672448338
79557,1499,400400,3569971,288826,205134,275611,993160,4204337,11964,1753551,625203,327564,NY,2022,17988,0.2261020400467589,5.032869514938975,1762731,49.37661958598543,2718282,64.65423680356737,337.321,79142.78925934051,100.52337142086587,-0.6841231125295688,-0.09278386847700654,-0.42455589770858415,-0.4713964978111821
93421,1551,517700,349558,31842,21278,30549,73193,818033,1636,260943,153584,41487,UT,2023,18612,0.1992271544941715,5.541580586805964,156862,44.87438422236081,457650,55.94517580586602,345.294,90788.70327822088,102.89936591969209,0.935694442295121,1.4954473461814901,0.7368994595059487,1.0259339225694202
75780,1413,296900,4212276,380049,289362,399815,1028215,7048369,19605,3114370,1261881,620092,TX,2023,16956,0.2237529691211401,3.9179202955925048,2097441,49.79353204775755,5015948,71.16466234954498,314.35,80894.21585811993,93.67789673974994,-0.44051908573609694,-0.23985600755627468,-1.292797448676918,-0.6034229069263466
95521,1992,725800,6041358,548408,419166,572811,1677588,7658458,30002,2519333,1084999,436772,CA,2023,23904,0.250248636425498,7.598329163220653,3217973,53.26572270671595,4071106,53.15829896827795,345.294,92829.5321805476,102.89936591969209,1.2195511217299075,-1.4647234661432686,1.10856214894722,0.5207352315659416
82095,1561,420200,3587598,301250,199756,278852,960230,4221669,11923,1798047,642991,333471,NY,2023,18732,0.2281746756806139,5.118460320360558,1740088,48.50287016549792,2786432,66.00309024700894,337.321,81667.57525102202,100.52337142086587,-0.33295336622447397,0.21544437623448948,-0.604441313414821,-0.2637259174073199
96658,1593,545200,360409,36649,24720,30486,72721,824019,1887,263290,149935,43351,UT,2024,19116,0.1977694551925345,5.64050570051108,164576,45.66367654525831,458463,55.63743069031175,345.294,93934.4952576645,102.89936591969209,1.3732392381667435,1.2170126124391594,0.7779408775430311,1.1853579915789194
79721,1475,313200,4314892,385239,306862,404798,1028419,7134877,21357,3175928,1322209,632391,TX,2024,17700,0.222024309780359,3.92870134594398,2125318,49.25541589453456,5151885,72.20706117288357,314.35,85101.18477731827,93.67789673974994,0.14462366019793632,-0.05002744404629047,-1.4318135490395492,-0.29814841817249177
100149,2104,759500,6095762,539010,418453,593892,1678750,7701876,29758,2608492,1098870,455064,CA,2024,25248,0.2521043644968996,7.5837002865730065,3230105,52.989355555548265,4192184,54.43068675735626,345.294,97327.13035196095,102.89936591969209,1.8451171752652378,-1.3672307984482186,0.9388743244539229,0.815469469134045
85820,1634,449800,3575503,293743,198815,279389,963187,4252571,11837,1836251,655049,354231,NY,2024,19608,0.2284782102074108,5.241202516895829,1735134,48.52838887283831,2857368,67.19154130524805,337.321,85373.18116867909,100.52337142086587,0.18245534338406932,0.206442268551891,-0.7629351910835406,-0.04789555894087774
